time,degreeX,degreeY,degreeZ
0.1,14.79021577,-0.651628372,2.422503958
0.2,14.77471436,-0.661221563,2.440928608
0.3,14.75207195,-0.670907275,2.45872073
0.4,14.72324946,-0.680707989,2.476005235
0.5,14.68916553,-0.690644401,2.492903245
0.6,14.6506861,-0.700735222,2.509530668
0.7,14.60861553,-0.710997034,2.525996934
0.8,14.56368914,-0.721444179,2.5424039
0.9,14.51656758,-0.732088694,2.558844958
1,14.46783276,-0.742940295,2.575404326
1.1,14.41798557,-0.754006387,2.592156559
1.2,14.36744525,-0.765292123,2.609166252
1.3,14.31655035,-0.776800492,2.626487946
1.4,14.26556119,-0.788532434,2.644166226
1.5,14.21466373,-0.800486984,2.662235994
1.6,14.16397461,-0.812661433,2.680722903
1.7,14.11354722,-0.825051505,2.699643937
1.8,14.06337862,-0.837651545,2.71900811
1.9,14.0134171,-0.850454713,2.738817264
2,13.96357015,-0.863453179,2.75906694
2.1,13.91371262,-0.876638314,2.7797473
2.2,13.86369489,-0.890000875,2.800844078
2.3,13.81335089,-0.903531183,2.822339525
2.4,13.7625057,-0.917219287,2.844213344
2.5,13.71098267,-0.931055115,2.866443577
2.6,13.65860984,-0.945028606,2.889007441
2.7,13.60522558,-0.959129833,2.911882083
2.8,13.55068344,-0.973349102,2.935045259
2.9,13.49485603,-0.987677041,2.958475912
3,13.43763793,-1.002104668,2.98215465
3.1,13.37894774,-1.01662345,3.006064126
3.2,13.31872913,-1.031225342,3.030189304
3.3,13.25695104,-1.045902819,3.054517637
3.4,13.19360713,-1.060648896,3.079039135
3.5,13.1287144,-1.075457138,3.103746361
3.6,13.06231126,-1.09032166,3.128634335
3.7,12.9944551,-1.105237129,3.153700373
3.8,12.92521942,-1.120198752,3.178943879
3.9,12.85469072,-1.135202265,3.204366078
4,12.78296522,-1.150243918,3.229969734
4.1,12.71014554,-1.165320458,3.255758834
4.2,12.63633744,-1.180429112,3.281738279
4.3,12.56164678,-1.195567561,3.307913567
4.4,12.48617664,-1.210733924,3.334290501
4.5,12.41002483,-1.225926733,3.360874907
4.6,12.33328177,-1.241144906,3.387672394
4.7,12.25602875,-1.256387722,3.414688141
4.8,12.17833666,-1.271654794,3.441926718
4.9,12.10026522,-1.286946032,3.46939196
5,12.0218625,-1.302261612,3.497086867
5.1,11.94316505,-1.317601941,3.525013556
5.2,11.8641983,-1.332967613,3.553173238
5.3,11.78497732,-1.348359368,3.581566239
5.4,11.70550793,-1.363778047,3.610192045
5.5,11.62578797,-1.379224545,3.63904937
5.6,11.54580884,-1.394699758,3.66813625
5.7,11.46555704,-1.410204538,3.69745014
5.8,11.3850159,-1.425739641,3.726988029
5.9,11.30416717,-1.441305676,3.756746551
6,11.22299265,-1.456903059,3.786722091
6.1,11.14147564,-1.47253197,3.816910897
6.2,11.05960229,-1.488192308,3.847309162
6.3,10.97736272,-1.503883656,3.87791311
6.4,10.89475194,-1.519605252,3.908719054
6.5,10.81177056,-1.535355966,3.939723441
6.6,10.7284252,-1.551134277,3.970922882
6.7,10.64472873,-1.566938272,4.002314157
6.8,10.56070022,-1.582765638,4.033894209
6.9,10.4763647,-1.59861367,4.065660118
7,10.3917527,-1.614479289,4.09760907
7.1,10.30689964,-1.63035906,4.1297383
7.2,10.22184503,-1.646249222,4.162045045
7.3,10.13663162,-1.662145727,4.194526476
7.4,10.05130445,-1.678044276,4.227179637
7.5,9.965909788,-1.693940371,4.260001381
7.6,9.880494182,-1.709829359,4.292988308
7.7,9.795103423,-1.725706488,4.32613671
7.8,9.70978162,-1.741566959,4.359442523
7.9,9.624570332,-1.757405976,4.392901292
8,9.539507794,-1.773218801,4.426508133
8.1,9.454628271,-1.789000804,4.460257727
8.2,9.369961527,-1.804747504,4.494144303
8.3,9.285532444,-1.820454615,4.528161651
8.4,9.201360768,-1.836118076,4.562303136
8.5,9.117461003,-1.851734087,4.596561718
8.6,9.03384244,-1.867299129,4.630929995
8.7,8.950509306,-1.88280998,4.665400239
8.8,8.867461032,-1.898263726,4.699964444
8.9,8.784692617,-1.913657766,4.73461438
9,8.702195082,-1.928989806,4.769341641
9.1,8.619955982,-1.944257852,4.804137706
9.2,8.537959974,-1.959460195,4.838993986
9.3,8.456189406,-1.974595394,4.873901876
9.4,8.374624929,-1.989662253,4.908852801
9.5,8.293246091,-2.004659801,4.943838258
9.6,8.21203192,-2.019587262,4.97884985
9.7,8.130961469,-2.034444033,5.013879315
9.8,8.050014315,-2.04922966,5.048918547
9.9,7.969171002,-2.063943818,5.083959611
10,7.888413424,-2.078586288,5.118994751
10.1,7.807725133,-2.09315695,5.154016392
10.2,7.727091589,-2.107655768,5.189017135
10.3,7.646500327,-2.12208279,5.22398975
10.4,7.565941065,-2.136438152,5.258927157
10.5,7.485405739,-2.150722087,5.293822418
10.6,7.404888486,-2.164934939,5.328668709
10.7,7.324385567,-2.179077188,5.36345931
10.8,7.24389525,-2.193149478,5.398187576
10.9,7.163417649,-2.207152649,5.432846925
11,7.082954536,-2.22108778,5.467430817
11.1,7.002509138,-2.234956222,5.50193274
11.2,6.92208591,-2.248759649,5.536346201
11.3,6.841690314,-2.2625001,5.570664714
11.4,6.761328596,-2.27618002,5.6048818
11.5,6.681007573,-2.289802301,5.638990985
11.6,6.600734438,-2.30337032,5.672985804
11.7,6.520516579,-2.316887969,5.70685981
11.8,6.44036143,-2.330359678,5.740606588
11.9,6.360276342,-2.343790427,5.774219769
12,6.280268478,-2.357185753,5.807693046
12.1,6.200344749,-2.370551741,5.8410202
12.2,6.120511762,-2.383895006,5.874195121
12.3,6.040775804,-2.397222658,5.907211832
12.4,5.961142847,-2.410542258,5.940064512
12.5,5.881618572,-2.423861761,5.972747525
12.6,5.802208415,-2.437189441,6.005255442
12.7,5.722917627,-2.450533813,6.037583064
12.8,5.643751339,-2.463903537,6.069725444
12.9,5.564714644,-2.477307311,6.101677906
13,5.485812674,-2.49075377,6.133436065
13.1,5.407050684,-2.50425136,6.164995839
13.2,5.328434127,-2.517808223,6.19635346
13.3,5.249968731,-2.531432076,6.227505486
13.4,5.171660556,-2.545130093,6.258448804
13.5,5.093516059,-2.558908788,6.289180635
13.6,5.015542126,-2.572773905,6.319698532
13.7,4.937746113,-2.586730324,6.350000379
13.8,4.860135856,-2.600781968,6.380084388
13.9,4.782719682,-2.614931732,6.409949086
14,4.705506401,-2.62918142,6.439593313
14.1,4.628505284,-2.643531709,6.469016206
14.2,4.551726039,-2.657982116,6.498217188
14.3,4.475178771,-2.672531002,6.52719596
14.4,4.398873936,-2.687175576,6.555952477
14.5,4.32282229,-2.701911935,6.584486945
14.6,4.247034836,-2.71673511,6.612799797
14.7,4.171522763,-2.731639135,6.640891683
14.8,4.096297391,-2.746617129,6.668763454
14.9,4.021370111,-2.761661399,6.696416147
15,3.946752334,-2.776763541,6.723850971
15.1,3.872455439,-2.791914568,6.751069291
15.2,3.798490725,-2.807105031,6.778072617
15.3,3.724869375,-2.822325151,6.804862589
15.4,3.651602421,-2.837564953,6.831440963
15.5,3.578700718,-2.852814393,6.857809602
15.6,3.506174923,-2.868063491,6.883970458
15.7,3.434035482,-2.883302446,6.909925564
15.8,3.36229263,-2.898521751,6.935677018
15.9,3.290956382,-2.913712295,6.961226975
16,3.220036547,-2.928865449,6.986577634
16.1,3.149542736,-2.943973142,7.011731222
16.2,3.079484378,-2.959027922,7.036689987
16.3,3.009870736,-2.974022996,7.061456184
16.4,2.940710935,-2.988952263,7.086032062
16.5,2.872013975,-3.003810325,7.110419853
16.6,2.803788764,-3.018592483,7.13462176
16.7,2.736044135,-3.033294721,7.158639942
16.8,2.668788872,-3.047913679,7.182476506
16.9,2.602031729,-3.06244661,7.206133493
17,2.53578145,-3.076891327,7.229612866
17.1,2.470046789,-3.091246151,7.252916499
17.2,2.404836517,-3.10550984,7.276046166
17.3,2.340159439,-3.119681526,7.299003531
17.4,2.2760244,-3.13376064,7.321790137
17.5,2.21244029,-3.147746847,7.344407396
17.6,2.149416046,-3.161639974,7.366856583
17.7,2.086960648,-3.175439947,7.389138824
17.8,2.025083124,-3.18914673,7.411255093
17.9,1.963792535,-3.202760272,7.433206203
18,1.903097971,-3.21628046,7.454992802
18.1,1.843008546,-3.22970708,7.476615366
18.2,1.78353338,-3.243039783,7.4980742
18.3,1.724681595,-3.256278067,7.51936943
18.4,1.666462301,-3.269421256,7.540501005
18.5,1.608884584,-3.282468498,7.561468694
18.6,1.551957496,-3.295418759,7.582272085
18.7,1.495690044,-3.308270833,7.602910588
18.8,1.440091183,-3.321023351,7.623383434
18.9,1.385169802,-3.333674797,7.643689677
19,1.330934725,-3.346223527,7.663828198
19.1,1.277394695,-3.35866779,7.683797704
19.2,1.22455838,-3.371005751,7.703596734
19.3,1.172434359,-3.383235513,7.723223661
19.4,1.121031129,-3.395355137,7.742676697
19.5,1.0703571,-3.407362669,7.761953894
19.6,1.020420595,-3.41925615,7.78105315
19.7,0.971229853,-3.431033638,7.799972212
19.8,0.922793035,-3.442693217,7.81870868
19.9,0.87511822,-3.454233008,7.837260009
20,0.828213419,-3.465651174,7.855623518
20.1,0.782086573,-3.476945922,7.873796385
20.2,0.736745564,-3.488115501,7.89177566
20.3,0.692198218,-3.499158202,7.909558258
20.4,0.648452317,-3.510072346,7.927140973
20.5,0.605515603,-3.52085628,7.94452047
20.6,0.563395789,-3.531508365,7.961693298
20.7,0.522100565,-3.542026964,7.978655883
20.8,0.481637612,-3.552410433,7.995404537
20.9,0.442014606,-3.562657105,8.011935458
21,0.403239232,-3.572765283,8.028244731
21.1,0.365319192,-3.582733227,8.044328333
21.2,0.328262215,-3.592559145,8.06018213
21.3,0.292076072,-3.602241187,8.075801883
21.4,0.256768578,-3.611777438,8.091183248
21.5,0.222347609,-3.621165914,8.106321777
21.6,0.188821109,-3.630404561,8.121212918
21.7,0.156197098,-3.639491254,8.135852021
21.8,0.124483684,-3.6484238,8.150234335
21.9,0.093689065,-3.657199938,8.16435501
22,0.063821539,-3.665817348,8.178209098
22.1,0.034889505,-3.674273653,8.191791557
22.2,0.006901468,-3.682566426,8.205097245
22.3,-0.020133963,-3.690693199,8.21812093
22.4,-0.046208081,-3.698651467,8.230857282
22.5,-0.07131208,-3.706438697,8.243300878
22.6,-0.095437072,-3.71405233,8.255446204
22.7,-0.118574092,-3.721489792,8.267287649
22.8,-0.140714123,-3.728748494,8.278819511
22.9,-0.16184811,-3.735825838,8.290035996
23,-0.181966989,-3.742719216,8.300931215
23.1,-0.201061715,-3.749426015,8.311499183
23.2,-0.219123292,-3.755943611,8.321733822
23.3,-0.236142815,-3.762269374,8.331628958
23.4,-0.252111508,-3.768400659,8.341178318
23.5,-0.26702077,-3.774334804,8.35037553
23.6,-0.280862222,-3.780069127,8.359214123
23.7,-0.293627759,-3.78560092,8.367687519
23.8,-0.305309602,-3.790927439,8.375789038
23.9,-0.315900354,-3.796045907,8.38351189
24,-0.325393054,-3.800953496,8.390849176
24.1,-0.333781237,-3.805647331,8.397793881
24.2,-0.341058987,-3.810124481,8.404338876
24.3,-0.347220992,-3.81438195,8.410476913
24.4,-0.352262598,-3.81841668,8.416200621
24.5,-0.356179863,-3.822225541,8.421502506
24.6,-0.358969594,-3.82580533,8.426374947
24.7,-0.360629402,-3.829152772,8.430810195
24.8,-0.361157731,-3.832264515,8.434800372
24.9,-0.360553892,-3.835137129,8.438337469
25,-0.358818092,-3.837767111,8.441413347
25.1,-0.355951451,-3.840150885,8.444019738
25.2,-0.351956016,-3.842284799,8.446148244
25.3,-0.346834764,-3.844165133,8.447790343
25.4,-0.340591603,-3.845788102,8.448937393
25.5,-0.33323136,-3.847149854,8.449580633
25.6,-0.324759767,-3.848246478,8.449711192
25.7,-0.315183433,-3.849074006,8.449320099
25.8,-0.304509815,-3.849628417,8.448398288
25.9,-0.292747182,-3.849905641,8.44693661
26,-0.279904568,-3.849901558,8.444925847
26.1,-0.265991729,-3.849612009,8.442356721
26.2,-0.251019081,-3.849032791,8.439219916
26.3,-0.234997651,-3.848159668,8.435506086
26.4,-0.217939011,-3.846988366,8.43120588
26.5,-0.199855216,-3.84551458,8.426309955
26.6,-0.18075874,-3.843733977,8.420809002
26.7,-0.160662413,-3.841642198,8.41469376
26.8,-0.139579351,-3.839234859,8.407955043
26.9,-0.117522895,-3.836507556,8.40058376
27,-0.094506551,-3.833455869,8.392570939
27.1,-0.070543924,-3.830075364,8.383907748
27.2,-0.045648666,-3.826361598,8.374585518
27.3,-0.019834423,-3.822310123,8.364595769
27.4,0.006885218,-3.817916491,8.353930229
27.5,0.034496769,-3.81317626,8.342580854
27.6,0.062986884,-3.808085001,8.330539853
27.7,0.092342392,-3.802638304,8.317799706
27.8,0.122550326,-3.796831784,8.304353181
27.9,0.153597949,-3.790661091,8.290193351
28,0.185472774,-3.784121917,8.27531361
28.1,0.218162574,-3.777210005,8.259707688
28.2,0.251655397,-3.769921158,8.243369658
28.3,0.285939566,-3.762251247,8.226293952
28.4,0.321003686,-3.754196223,8.208475363
28.5,0.356836637,-3.745752123,8.189909055
28.6,0.393427568,-3.736915082,8.170590563
28.7,0.430765891,-3.727681341,8.150515799
28.8,0.468841269,-3.718047254,8.129681048
28.9,0.507643601,-3.708009301,8.108082969
29,0.547163009,-3.69756409,8.085718591
29.1,0.587389823,-3.686708372,8.062585304
29.2,0.628314563,-3.67543904,8.038680858
29.3,0.669927924,-3.663753142,8.014003353
29.4,0.712220758,-3.651647885,7.988551227
29.5,0.755184058,-3.639120639,7.962323252
29.6,0.798808945,-3.626168942,7.935318518
29.7,0.843086648,-3.612790507,7.907536425
29.8,0.888008496,-3.598983224,7.87897667
29.9,0.933565899,-3.584745162,7.849639238
30,0.979750344,-3.570074573,7.819524387
30.1,1.026553377,-3.554969896,7.788632639
30.2,1.073966598,-3.539429756,7.756964767
30.3,1.121981653,-3.523452971,7.724521788
30.4,1.170590225,-3.507038544,7.691304949
30.5,1.219784032,-3.490185677,7.657315719
30.6,1.269554817,-3.47289376,7.622555783
30.7,1.319894346,-3.455162381,7.58702703
30.8,1.370794409,-3.436991323,7.550731549
30.9,1.42224681,-3.418380564,7.513671621
31,1.474243369,-3.399330281,7.475849716
31.1,1.526775922,-3.379840846,7.437268489
31.2,1.579836314,-3.359912833,7.397930771
31.3,1.633416404,-3.339547014,7.357839575
31.4,1.687508059,-3.318744357,7.316998085
31.5,1.742103156,-3.297506036,7.275409662
31.6,1.79719358,-3.275833418,7.233077837
31.7,1.852771223,-3.253728076,7.190006317
31.8,1.908827985,-3.231191778,7.146198978
31.9,1.965355771,-3.208226495,7.10165987
32,2.022346491,-3.184834394,7.056393215
32.1,2.07979206,-3.16101784,7.010403412
32.2,2.137684398,-3.136779396,6.96369503
32.3,2.196015428,-3.112121817,6.916272813
32.4,2.254777075,-3.087048054,6.868141682
32.5,2.313961272,-3.061561246,6.819306732
32.6,2.373559953,-3.035664722,6.76977323
32.7,2.433565058,-3.009361995,6.719546621
32.8,2.493968534,-2.982656763,6.668632519
32.9,2.554762335,-2.955552899,6.617036711
33,2.615938426,-2.928054455,6.564765154
33.1,2.677488784,-2.900165653,6.51182397
33.2,2.739405403,-2.871890882,6.458219447
33.3,2.801680294,-2.843234695,6.403958031
33.4,2.864305493,-2.814201804,6.349046327
33.5,2.927273064,-2.784797074,6.293491088
33.6,2.990575104,-2.755025522,6.237299216
33.7,3.054203747,-2.724892308,6.180477754
33.8,3.118151173,-2.694402735,6.123033876
33.9,3.182409611,-2.66356224,6.064974889
34,3.246971349,-2.632376392,6.006308217
34.1,3.311828736,-2.600850885,5.9470414
34.2,3.376974193,-2.568991537,5.887182084
34.3,3.442400219,-2.536804282,5.826738011
34.4,3.508099396,-2.504295165,5.765717017
34.5,3.574064399,-2.47147034,5.704127014
34.6,3.640288002,-2.438336063,5.641975994
34.7,3.706763083,-2.404898687,5.579272007
34.8,3.773482633,-2.371164659,5.516023165
34.9,3.840439762,-2.337140513,5.452237624
35,3.907627705,-2.302832865,5.387923581
35.1,3.975039829,-2.268248408,5.323089266
35.2,4.042669636,-2.233393908,5.25774293
35.3,4.110510769,-2.198276194,5.191892843
35.4,4.17855702,-2.162902157,5.125547283
35.5,4.24680233,-2.127278741,5.058714531
35.6,4.315240795,-2.091412936,4.991402864
35.7,4.383866668,-2.055311771,4.923620552
35.8,4.452674366,-2.018982309,4.855375848
35.9,4.521658466,-1.982431639,4.786676989
36,4.590813711,-1.945666865,4.717532191
36.1,4.660135013,-1.908695102,4.647949642
36.2,4.729617447,-1.871523463,4.577937507
36.3,4.79925626,-1.834159055,4.50750392
36.4,4.869046864,-1.796608965,4.436656987
36.5,4.938984841,-1.758880255,4.365404787
36.6,5.009065935,-1.720979946,4.293755369
36.7,5.079286058,-1.682915015,4.221716758
36.8,5.149641284,-1.644692378,4.149296954
36.9,5.220127844,-1.606318884,4.076503937
37,5.290742131,-1.567801298,4.003345672
37.1,5.361480688,-1.529146298,3.929830111
37.2,5.432340209,-1.490360456,3.855965199
37.3,5.503317536,-1.451450228,3.781758877
37.4,5.574409651,-1.412421944,3.707219095
37.5,5.645613675,-1.373281798,3.63235381
37.6,5.716926858,-1.334035827,3.557170996
37.7,5.78834658,-1.29468991,3.48167865
37.8,5.859870341,-1.255249747,3.405884802
37.9,5.931495758,-1.215720851,3.329797515
38,6.003220557,-1.176108537,3.253424897
38.1,6.075042567,-1.136417907,3.176775105
38.2,6.146959717,-1.096653838,3.099856349
38.3,6.218970026,-1.056820975,3.022676904
38.4,6.2910716,-1.016923713,2.945245107
38.5,6.363262623,-0.976966192,2.867569367
38.6,6.435541353,-0.936952284,2.789658165
38.7,6.507906115,-0.896885583,2.711520061
38.8,6.580355295,-0.856769392,2.633163692
38.9,6.652887334,-0.816606722,2.554597778
39,6.725500722,-0.776400275,2.475831116
39.1,6.798193995,-0.736152441,2.396872588
39.2,6.870965726,-0.695865291,2.317731151
39.3,6.943814522,-0.655540568,2.238415841
39.4,7.016739021,-0.615179685,2.158935767
39.5,7.089737883,-0.574783717,2.079300104
39.6,7.162809789,-0.534353402,1.999518095
39.7,7.235953439,-0.493889133,1.919599036
39.8,7.309167542,-0.453390962,1.839552275
39.9,7.38245082,-0.412858597,1.759387201
40,7.455802,-0.372291403,1.679113234
40.1,7.529219815,-0.331688406,1.59873982
40.2,7.602703,-0.291048292,1.518276413
40.3,7.676250288,-0.250369416,1.43773247
40.4,7.749860414,-0.209649806,1.357117437
40.5,7.823532109,-0.16888717,1.276440733
40.6,7.897264099,-0.128078902,1.195711743
40.7,7.971055108,-0.087222095,1.1149398
40.8,8.044903854,-0.046313549,1.03413417
40.9,8.11880905,-0.005349783,0.953304043
41,8.192769404,0.03567295,0.87245851
41.1,8.266783618,0.076758656,0.791606558
41.2,8.34085039,0.117911576,0.710757045
41.3,8.414968413,0.159136178,0.629918691
41.4,8.489136378,0.200437137,0.549100061
41.5,8.563352969,0.241819318,0.468309548
41.6,8.637616871,0.28328776,0.387555359
41.7,8.711926763,0.324847653,0.3068455
41.8,8.786281325,0.366504325,0.226187757
41.9,8.860679237,0.408263217,0.145589684
42,8.935119176,0.450129868,0.06505859
42.1,9.009599822,0.49210989,-0.015398485
42.2,9.084119855,0.53420895,-0.095774774
42.3,9.158677957,0.576432751,-0.176063805
42.4,9.233272812,0.618787009,-0.256259415
42.5,9.307903105,0.661277434,-0.33635576
42.6,9.382567527,0.703909712,-0.416347332
42.7,9.457264767,0.746689479,-0.496228972
42.8,9.531993521,0.78962231,-0.575995885
42.9,9.606752485,0.832713692,-0.655643648
43,9.68154036,0.875969012,-0.735168228
43.1,9.756355846,0.919393534,-0.814565987
43.2,9.831197649,0.962992386,-0.893833701
43.3,9.906064472,1.00677054,-0.972968562
43.4,9.980955022,1.0507328,-1.051968196
43.5,10.05586801,1.094883781,-1.130830664
43.6,10.13080213,1.139227903,-1.209554478
43.7,10.20575609,1.18376937,-1.288138599
43.8,10.28072861,1.228512163,-1.366582451
43.9,10.35571836,1.273460025,-1.444885923
44,10.43072406,1.318616455,-1.523049369
44.1,10.50574439,1.363984692,-1.601073617
44.2,10.58077803,1.409567712,-1.678959966
44.3,10.65582365,1.455368219,-1.756710182
44.4,10.73087994,1.501388638,-1.834326505
44.5,10.80594555,1.547631107,-1.911811637
44.6,10.88101911,1.594097477,-1.989168737
44.7,10.95609928,1.640789305,-2.066401421
44.8,11.03118467,1.68770785,-2.143513743
44.9,11.10627389,1.734854076,-2.22051019
45,11.18136554,1.782228645,-2.297395667
45.1,11.25645819,1.829831921,-2.374175482
45.2,11.33155041,1.877663967,-2.45085533
45.3,11.40664073,1.92572455,-2.527441271
45.4,11.48172768,1.974013138,-2.603939713
45.5,11.55680975,2.022528907,-2.680357385
45.6,11.63188545,2.071270744,-2.756701317
45.7,11.70695321,2.120237246,-2.832978808
45.8,11.78201148,2.169426732,-2.909197401
45.9,11.85705866,2.218837239,-2.985364855
46,11.93209316,2.268466537,-3.061489107
46.1,12.00711332,2.318312127,-3.137578247
46.2,12.08211748,2.36837125,-3.213640479
46.3,12.15710394,2.418640896,-3.289684086
46.4,12.232071,2.469117807,-3.365717399
46.5,12.3070169,2.519798487,-3.441748756
46.6,12.38193986,2.570679209,-3.517786464
46.7,12.45683807,2.62175602,-3.593838768
46.8,12.5317097,2.673024755,-3.669913806
46.9,12.60655287,2.724481037,-3.74601958
47,12.68136569,2.776120294,-3.822163912
47.1,12.75614621,2.827937759,-3.898354412
47.2,12.83089247,2.879928485,-3.974598439
47.3,12.90560246,2.932087349,-4.050903074
47.4,12.98027415,2.984409063,-4.127275078
47.5,13.05490546,3.036888184,-4.203720865
47.6,13.12949428,3.089519116,-4.280246471
47.7,13.20403845,3.142296126,-4.356857526
47.8,13.27853579,3.19521335,-4.433559225
47.9,13.35298407,3.2482648,-4.510356306
48,13.427381,3.301444373,-4.587253025
48.1,13.50172428,3.354745861,-4.664253139
48.2,13.57601152,3.408162958,-4.741359883
48.3,13.65024031,3.461689269,-4.818575958
48.4,13.72440819,3.515318316,-4.895903517
48.5,13.79851262,3.569043551,-4.973344153
48.6,13.87255101,3.622858359,-5.050898889
48.7,13.94652072,3.676756068,-5.128568175
48.8,14.02041903,3.730729958,-5.206351882
48.9,14.09424315,3.784773268,-5.284249302
49,14.16799021,3.838879203,-5.362259143
49.1,14.24165724,3.893040943,-5.440379541
49.2,14.31524122,3.947251648,-5.518608054
49.3,14.388739,4.001504469,-5.596941679
49.4,14.46214734,4.055792555,-5.675376851
49.5,14.53546287,4.110109055,-5.753909459
49.6,14.60868212,4.164447133,-5.832534857
49.7,14.68180149,4.218799968,-5.911247871
49.8,14.75481722,4.273160767,-5.990042823
49.9,14.82772542,4.327522766,-6.068913536
50,14.90052205,4.381879241,-6.147853358
50.1,14.97320288,4.436223511,-6.226855174
